Time,Channel A,Channel B
(ms),(V),(mV)
-1.00373803,-0.98324530,0.05340739
-1.00117803,-0.98324530,-0.38758500
-0.99861803,-1.00070200,0.05340739
-0.99605803,-0.98324530,0.05340739
-0.99349803,-0.98324530,-0.38758500
-0.99093803,-0.98324530,0.05340739
-0.98837803,-0.98324530,-0.38758500
-0.98581803,-0.98324530,0.05340739
-0.98325803,-0.98324530,0.05340739
-0.98069803,-0.98324530,-0.38758500
-0.97813803,-0.98324530,-0.82857750
-0.97557803,-0.98324530,-0.38758500
-0.97301803,-0.98324530,0.05340739
-0.97045803,-0.98324530,0.05340739
-0.96789803,-0.98324530,-0.38758500
-0.96533803,-0.98324530,-0.38758500
-0.96277803,-0.96572770,0.05340739
-0.96021803,-0.96572770,-0.38758500
-0.95765803,-0.98324530,-0.82857750
-0.95509803,-0.96572770,0.05340739
-0.95253803,-0.96572770,-0.82857750
-0.94997803,-0.96572770,0.05340739
-0.94741803,-0.96572770,-0.38758500
-0.94485803,-0.96572770,0.05340739
-0.94229803,-0.96572770,-0.82857750
-0.93973803,-0.96572770,-0.38758500
-0.93717803,-0.96572770,0.05340739
-0.93461803,-0.96572770,-0.38758500
-0.93205803,-0.96572770,-0.38758500
-0.92949803,-0.94827120,-0.38758500
-0.92693803,-0.94827120,0.05340739
-0.92437803,-0.96572770,-0.38758500
-0.92181803,-0.94827120,-0.38758500
-0.91925803,-0.94827120,0.05340739
-0.91669803,-0.94827120,-0.38758500
-0.91413803,-0.94827120,-0.38758500
-0.91157803,-0.94827120,-0.38758500
-0.90901803,-0.94827120,0.05340739
-0.90645803,-0.94827120,-0.38758500
-0.90389803,-0.94827120,-0.82857750
-0.90133803,-0.94827120,0.05340739
-0.89877803,-0.94827120,-0.82857750
-0.89621803,-0.94827120,-0.82857750
-0.89365803,-0.94827120,-0.38758500
-0.89109803,-0.94827120,-0.82857750
-0.88853803,-0.94827120,-0.82857750
-0.88597803,-0.94827120,-0.82857750
-0.88341803,-0.94827120,0.05340739
-0.88085803,-0.94827120,0.05340739
-0.87829803,-0.93075350,-0.38758500
-0.87573803,-0.94827120,0.05340739
-0.87317803,-0.94827120,0.05340739
-0.87061803,-0.93075350,-0.82857750
-0.86805803,-0.93075350,0.05340739
-0.86549803,-0.93075350,0.05340739
-0.86293803,-0.93075350,-0.38758500
-0.86037803,-0.93075350,0.05340739
-0.85781803,-0.91329690,0.05340739
-0.85525803,-0.93075350,0.05340739
-0.85269803,-0.91329690,-0.38758500
-0.85013803,-0.91329690,-0.82857750
-0.84757803,-0.91329690,0.05340739
-0.84501803,-0.91329690,-0.38758500
-0.84245803,-0.91329690,-0.82857750
-0.83989803,-0.91329690,0.05340739
-0.83733803,-0.91329690,0.05340739
-0.83477803,-0.91329690,-0.82857750
-0.83221803,-0.91329690,0.05340739
-0.82965803,-0.89577930,0.05340739
-0.82709803,-0.91329690,0.05340739
-0.82453803,-0.89577930,-0.82857750
-0.82197803,-0.91329690,0.05340739
-0.81941803,-0.89577930,-0.38758500
-0.81685803,-0.89577930,-0.38758500
-0.81429803,-0.89577930,0.05340739
-0.81173803,-0.87832270,0.05340739
-0.80917803,-0.89577930,-0.38758500
-0.80661803,-0.89577930,0.05340739
-0.80405803,-0.89577930,0.05340739
-0.80149803,-0.87832270,-0.82857750
-0.79893803,-0.87832270,-0.38758500
-0.79637803,-0.87832270,0.05340739
-0.79381803,-0.87832270,-0.38758500
-0.79125803,-0.87832270,-0.38758500
-0.78869803,-0.87832270,-0.38758500
-0.78613803,-0.87832270,0.05340739
-0.78357803,-0.87832270,-0.38758500
-0.78101803,-0.87832270,-0.38758500
-0.77845803,-0.87832270,0.49287390
-0.77589803,-0.87832270,-0.38758500
-0.77333803,-0.86080510,-0.38758500
-0.77077803,-0.86080510,0.05340739
-0.76821803,-0.87832270,0.05340739
-0.76565803,-0.87832270,-0.38758500
-0.76309803,-0.86080510,-0.38758500
-0.76053803,-0.87832270,-0.38758500
-0.75797803,-0.86080510,-0.38758500
-0.75541803,-0.86080510,-0.38758500
-0.75285803,-0.84334850,0.05340739
-0.75029803,-0.84334850,0.05340739
-0.74773803,-0.84334850,-0.38758500
-0.74517803,-0.84334850,-0.38758500
-0.74261803,-0.84334850,0.05340739
-0.74005803,-0.84334850,-0.38758500
-0.73749803,-0.84334850,0.05340739
-0.73493803,-0.84334850,-0.38758500
-0.73237803,-0.84334850,0.05340739
-0.72981803,-0.82583090,-0.38758500
-0.72725803,-0.84334850,0.05340739
-0.72469803,-0.84334850,0.05340739
-0.72213803,-0.82583090,0.05340739
-0.71957803,-0.82583090,-0.38758500
-0.71701803,-0.82583090,-0.38758500
-0.71445803,-0.82583090,0.05340739
-0.71189803,-0.82583090,-0.38758500
-0.70933803,-0.82583090,-0.38758500
-0.70677803,-0.82583090,0.05340739
-0.70421803,-0.82583090,-0.38758500
-0.70165803,-0.80837430,0.05340739
-0.69909803,-0.80837430,-0.38758500
-0.69653803,-0.80837430,0.05340739
-0.69397803,-0.80837430,-0.38758500
-0.69141803,-0.80837430,-0.82857750
-0.68885803,-0.80837430,0.05340739
-0.68629803,-0.80837430,0.05340739
-0.68373803,-0.80837430,-0.38758500
-0.68117803,-0.80837430,0.05340739
-0.67861803,-0.80837430,0.05340739
-0.67605803,-0.80837430,0.05340739
-0.67349803,-0.80837430,-0.38758500
-0.67093803,-0.80837430,-0.82857750
-0.66837803,-0.79085670,-0.38758500
-0.66581803,-0.79085670,0.05340739
-0.66325803,-0.79085670,0.05340739
-0.66069803,-0.77340010,0.05340739
-0.65813803,-0.79085670,-0.38758500
-0.65557803,-0.77340010,-0.38758500
-0.65301803,-0.77340010,0.05340739
-0.65045803,-0.77340010,0.05340739
-0.64789803,-0.77340010,0.05340739
-0.64533803,-0.77340010,0.05340739
-0.64277803,-0.77340010,0.05340739
-0.64021803,-0.77340010,0.05340739
-0.63765803,-0.77340010,-0.38758500
-0.63509803,-0.75588240,-0.82857750
-0.63253803,-0.75588240,0.05340739
-0.62997803,-0.75588240,-0.82857750
-0.62741803,-0.77340010,-0.38758500
-0.62485803,-0.75588240,0.05340739
-0.62229803,-0.75588240,-0.38758500
-0.61973803,-0.75588240,-0.38758500
-0.61717803,-0.75588240,0.49287390
-0.61461803,-0.73842590,-0.38758500
-0.61205803,-0.73842590,0.05340739
-0.60949803,-0.73842590,0.49287390
-0.60693803,-0.73842590,-0.38758500
-0.60437803,-0.73842590,0.05340739
-0.60181803,-0.73842590,-0.82857750
-0.59925803,-0.73842590,0.05340739
-0.59669803,-0.73842590,-0.38758500
-0.59413803,-0.73842590,-0.82857750
-0.59157803,-0.73842590,-0.82857750
-0.58901803,-0.73842590,0.05340739
